headword,pos,CEFR
court,noun,1
courtesy,noun,3
cousin,noun,0
cover,noun,0
cover,verb,1
cow,noun,0
coward,noun,3
cowardly,adjective,3
coziness,noun,3
cozy,adjective,3
crab,noun,3
crack,noun,3
crack,verb,3
craft,noun,2
craftsman,noun,3
crash,noun,2
crash,verb,2
crater,noun,3
crawl,verb,3
crazy,adjective,1
cream,adjective,1
cream,noun,0
crease,noun,3
create,verb,1
creation,noun,3
creative,adjective,1
creatively,adverb,3
creativity,noun,1
creator,noun,2
creature,noun,1
credit,noun,1
credit card,noun,0
creek,noun,3
creepy,adjective,3
crew,noun,3
cricket,noun,1
crime,noun,1
criminal,adjective,3
criminal,noun,2
cripple,noun,3
crisis,noun,2
crisp,noun,1
critic,noun,2
critical,adjective,2
critically,adverb,3
criticise,verb,1
criticism,noun,3
criticize,verb,1
crocodile,noun,3
crop,noun,2
cross,noun,1
cross,verb,1
crossing,noun,2
crossly,adverb,3
crossroads,noun,2
crow,noun,2
crowd,noun,1
crowded,adjective,1
crown,noun,1
crucial,adjective,3
cruel,adjective,2
cruelly,adverb,3
cruelty,noun,3
cruise,noun,1
cruise,verb,3
crush,noun,2
cry,noun,0
cry,verb,1
crystallise,verb,3
crystallize,verb,3
cube,noun,3
cubism,noun,3
cucumber,noun,2
cuff,noun,3
culmination,noun,3
cultivate,verb,2
cultural,adjective,2
culturally,adverb,3
culture,noun,0
cup,noun,0
cupboard,noun,1
cure,noun,2
cure,verb,3
curiosity,noun,2
curious,adjective,2
curiously,adverb,2
curl,noun,3
curly,adjective,2
currency,noun,2
current,adjective,2
currently,adverb,2
curriculum,noun,2
curry,noun,1
curse,noun,1
cursor,noun,3
curtain,noun,2
curve,noun,2
cushion,noun,2
custom,noun,1
customer,noun,1
customs,noun,2
cut,noun,2
cut,verb,0
cute,adjective,0
CV,noun,2
cyberaddict,noun,3
cybercafe,noun,3
cybercafé,noun,3
cybercrime,noun,3
cyberpet,noun,3
cyberschool,noun,3
cyberspace,noun,3
cycle,noun,2
cycle,verb,2
cycling,noun,1
cyclist,noun,3
dad,noun,0
daddy,noun,0
daft,adjective,3
daily,adjective,1
daily,adverb,1
daisy,noun,2
dam,noun,1
damage,noun,2
damage,verb,2
damaged,adjective,2
damn,adjective,3
damn,adverb,3
damn,interjection,3
damp,adjective,2
dance,noun,0
dance,verb,0
dancer,noun,1
dancing,noun,0
dandelion,noun,3
danger,noun,1
dangerous,adjective,1
dangerously,adverb,2
dare,verb,2
dark,adjective,0
darkness,noun,2
darling,adjective,3
darling,noun,3
dash,noun,3
dash,verb,3
data,noun,3
database,noun,3
date,noun,0
date,verb,2
dated,adjective,3
dating,noun,2
daughter,noun,0
daughter-in-law,noun,3
dawn,noun,3
day,noun,0
daylight,noun,1
daytime,noun,3
daze,noun,2
dazzle,noun,2
de facto,adjective,3
dead,adjective,1
deadline,noun,2
deadly,adjective,2
deaf,adjective,2
deal,noun,1
deal,verb,2
dealer,noun,2
dear,adjective,0
dear,noun,3
dearly,adverb,3
death,noun,1
debate,noun,1
debit,noun,3
debit,verb,3
debit card,noun,3
debris,noun,2
debt,noun,2
decade,noun,3
decay,verb,3
deceive,verb,3
December,noun,0
decent,adjective,3
deceptive,adjective,3
decide,verb,1
decision,noun,2
decisive,adjective,3
deck,noun,3
declaration,noun,2
declare,verb,2
decline,noun,2
decline,verb,3
decomposition,noun,3
decorate,verb,3
decoration,noun,3
decorative,adjective,3
decrease,noun,2
decrease,verb,2
dedicate,verb,2
dedication,noun,3
deduce,verb,3
deduction,noun,3
deed,noun,2
deem,verb,3
deep,adjective,3
deep,adverb,1
deeply,adverb,1
deer,noun,3
defeat,noun,3
defeat,verb,2
defence,noun,2
defend,verb,2
defender,noun,2
defense,noun,2
deficiency,noun,2
deficit,noun,3
define,verb,2
definite,adjective,2
definite article,noun,2
definitely,adverb,2
definition,noun,2
deforestation,noun,3
defy,verb,3
degree,noun,1
dehumanise,verb,3
dehumanize,verb,3
delay,noun,1
delay,verb,2
delegate,noun,3
delete,verb,2
deliberate,adjective,3
deliberately,adverb,3
delicacy,noun,3
delicate,adjective,2
delicately,adverb,3
delicious,adjective,0
delight,noun,2
delight,verb,3
delighted,adjective,2
delightful,adjective,2
deliver,verb,2
delivery,noun,2
demand,noun,2
demand,verb,2
demanding,adjective,3
democracy,noun,2
democratic,adjective,2
demolish,verb,3
demonstrate,verb,2
demonstration,noun,2
denim,noun,3
dense,adjective,3
densely,adverb,3
dental,adjective,3
dentist,noun,1
deny,verb,2
depart,verb,2
department,noun,2
department store,noun,1
departure,noun,2
depend,verb,1
dependable,adjective,3
dependent,adjective,2
deposit,noun,2
deposit,verb,3
depressed,adjective,2
depressing,adjective,2
depression,noun,2
deprive,verb,2
depth,noun,2
deputy,noun,3
derive,verb,2
descend,verb,3
describe,verb,0
description,noun,1
descriptive,adjective,3
desert,noun,1
deserve,verb,2
design,noun,0
design,verb,2
designer,adjective,3
designer,noun,2
desirable,adjective,3
desire,noun,2
desire,verb,3
desk,noun,0
desktop,noun,3
desolation,noun,3
despair,noun,2
desperate,adjective,2
desperately,adverb,3
desperation,noun,3
despise,verb,3
despite,preposition,2
dessert,noun,1
destination,noun,2
destiny,noun,3
destroy,verb,1
destruction,noun,2
destructive,adjective,2
detach,verb,3
detachment,noun,3
detail,noun,1
detailed,adjective,3
detect,verb,3
detective,noun,2
determination,noun,2
determine,verb,2
determined,adjective,3
determiner,noun,3
devastate,verb,2
devastating,adjective,2
develop,verb,1
developed,adjective,1
developing,adjective,3
development,noun,2
device,noun,2
devil,noun,3
devote,verb,3
devoted,adjective,3
devotion,noun,2
diagram,noun,2
dial,noun,2
dial,verb,2
dialog,noun,2
dialogue,noun,2
diameter,noun,2
diamond,noun,1
diaper,noun,2
diarrhea,noun,3
diarrhoea,noun,3
diary,noun,1
dictator,noun,3
dictionary,noun,0
did,do-verb,0
die,verb,1
diet,noun,1
differ,verb,2
difference,noun,0
different,adjective,0
differently,adverb,1
difficult,adjective,0
difficulty,noun,1
dig,noun,0
dig,verb,2
digest,noun,3
digital,adjective,2
digital camera,noun,1
dignify,verb,3
dignity,noun,3
dilemma,noun,3
diligence,noun,2
diligent,adjective,2
dim,adjective,3
dime,noun,3
dimension,noun,3
dining room,noun,0
dinner,noun,0
dinosaur,noun,1
dioxide,noun,2
dip,verb,3
diphtheria,noun,3
diploma,noun,3
diplomat,noun,3
direct,adjective,1
direct,verb,2
direction,noun,1
directly,adverb,2
director,noun,1
dirt,noun,2
dirty,adjective,0
disability,noun,2
disable,verb,2
disabled,adjective,2
disadvantage,noun,1
disagree,verb,1
disagreement,noun,2
disappear,verb,1
disappearance,noun,3
disappoint,verb,2
disappointed,adjective,1
disappointing,adjective,1
disappointment,noun,2
disapproval,noun,3
disapprove,verb,3
disaster,noun,2
disastrous,adjective,2
disc,noun,2
disc jockey,noun,2
discharge,noun,3
disciple,noun,3
discipline,noun,3
disco,noun,1
discomfort,noun,2
disconnect,verb,3
discount,noun,2
discourage,verb,2
discover,verb,1
discovery,noun,2
discredit,verb,3
discriminate,verb,3
discrimination,noun,2
discuss,verb,0
discussion,noun,1
disease,noun,2
disgrace,noun,3
disguise,noun,3
disguise,verb,3
disgusting,adjective,2
dish,noun,0
dishonest,adjective,1
dishonesty,noun,3
dishwasher,noun,2
disillusion,verb,3
disk,noun,2
disk jockey,noun,2
dislike,noun,1
dislike,verb,2
dismiss,verb,3
disorder,noun,3
disorderly,adjective,3
disorganised,adjective,3
disorganized,adjective,3
dispensable,adjective,3
displace,verb,3
display,noun,1
display,verb,2
displeasure,noun,3
disposal,noun,3
disposition,noun,3
dispute,noun,3
disqualify,verb,3
disregard,noun,3
disrupt,verb,3
dissatisfaction,noun,3
dissatisfied,adjective,3
dissident,noun,3
dissolve,verb,2
distance,noun,2
distant,adjective,2
distinction,noun,2
distinctly,adverb,2
distinguish,verb,2
distinguished,adjective,3
distortion,noun,3
distract,verb,3
distraction,noun,3
distressing,adjective,3
distribute,verb,2
distribution,noun,2
distributor,noun,3
district,noun,2
disturb,verb,1
disturbance,noun,2
dive,noun,2
dive,verb,2
diver,noun,2
diverse,adjective,2
diversion,noun,3
divert,verb,3
divide,noun,2
divide,verb,1
divided,adjective,3
divine,adjective,2
diving,noun,2
division,noun,3
divorce,noun,3
divorce,verb,3
divorced,adjective,2
dizzy,adjective,1
DJ,noun,2
DNA,noun,3
do,do-verb,0
doc,noun,2
dock,noun,3
doctor,noun,0
document,noun,2
documentary,noun,2
does,do-verb,0
dog,noun,0
doing,do-verb,0
doll,noun,0
dollar,noun,0
dolphin,noun,2
domestic,adjective,3
dominate,verb,3
donate,verb,3
donation,noun,3
done,do-verb,1
donkey,noun,3
doom,noun,3
door,noun,0
doorkeeper,noun,3
doorway,noun,3
dorm,noun,3
dormitory,noun,3
dose,noun,3
dot,noun,2
double,adjective,1
double,noun,3
double,verb,3
doubly,adverb,3
doubt,noun,1
doubt,verb,3
doubtful,adjective,3
dove,noun,3
down,adjective,3
down,adverb,0
down,preposition,1
downfall,noun,3
download,noun,3
download,verb,1
downsize,verb,3
downstairs,adjective,2
downstairs,adverb,1
downtown,adverb,1
downward,adjective,2
dowry,noun,3
doze,noun,2
dozen,determiner,2
dozen,noun,2
Dr.,noun,0
draft,noun,3
drag,verb,2
drain,noun,3
drain,verb,3
drama,noun,0
dramatic,adjective,2
dramatically,adverb,3
drapery,noun,3
draught,noun,3
draw,noun,1
draw,verb,0
drawer,noun,1
drawing,noun,1
dread,verb,3
dreadful,adjective,3
dream,noun,0
dream,verb,1
dreamy,adjective,3
dress,noun,0
dress,verb,1
dressed,adjective,1
drill,noun,1
drink,noun,0
drink,verb,0
drinkable,adjective,3
drive,noun,0
drive,verb,1
driver,noun,0
driver's license,noun,1
driving licence,noun,1
droop,noun,3
drop,noun,1
drop,verb,0
dropout,noun,3
drought,noun,3
drown,verb,2
drug,noun,1
drugstore,noun,1
drum,noun,0
drunk,adjective,2
dry,adjective,0
dry,verb,1
duck,noun,1
dude,noun,2
due,adjective,0
duel,noun,3
dull,adjective,2
dumb,adjective,3
dump,noun,2
dump,verb,2
duplicate,noun,3
duplication,noun,3
during,preposition,1
dust,noun,1
dustbin,noun,2
dusty,adjective,2
duty,noun,2
duty-free,adjective,2
duvet,noun,2
DVD,noun,0
dwarf,noun,3
dye,noun,3
dynamic,adjective,3
dynasty,noun,2
e-mail,noun,0
each,determiner,0
each,pronoun,0
each other,pronoun,0
eager,adjective,2
eagerly,adverb,3
eagerness,noun,2
eagle,noun,3
ear,noun,0
earache,noun,2
early,adjective,1
early,adverb,0
earn,verb,1
earnest,adjective,2
earnings,noun,3
earring,noun,1
earth,noun,1
earthquake,noun,1
ease,noun,3
ease,verb,3
easily,adverb,1
east,adjective,1
east,adverb,1
east,noun,1
eastern,adjective,2
eastward,adverb,3
eastwards,adverb,3
easy,adjective,0
easy-going,adjective,2
easygoing,adjective,2
eat,verb,0
eco,noun,2
ecological,adjective,2
ecologically,adverb,3
ecologist,noun,3
ecology,noun,2
economic,adjective,2
economical,adjective,3
economics,noun,2
economist,noun,3
economy,noun,2
ecosystem,noun,2
ecstasy,noun,2
ecstatic,adjective,3
edge,noun,2
edit,noun,3
edit,verb,3
edition,noun,2
editor,noun,1
editorial,noun,3
educate,verb,2
educated,adjective,3
education,noun,1
educational,adjective,1
educator,noun,3
effect,noun,1
effective,adjective,2
effectively,adverb,3
effectiveness,noun,3
efficiency,noun,2
efficient,adjective,2
effort,noun,1
egg,noun,0
eight,number,0
eighteen,number,0
eighty,number,0
either,adverb,0
either,conjunction,1
either,determiner,2
either,pronoun,2
elbow,noun,2
elderly,adjective,1
elect,verb,3
election,noun,2
elective,adjective,3
electric,adjective,1
electrical,adjective,2
electrician,noun,3
electricity,noun,2
electron,noun,2
electronic,adjective,2
electronically,adverb,3
electronics,noun,3
elegance,noun,3
elegant,adjective,3
elegantly,adverb,3
element,noun,2
elemental,adjective,3
elementary,adjective,0
elephant,noun,1
elevator,noun,1
eleven,number,0
eligible,adjective,3
eliminate,verb,2
elite,noun,3
eloquence,noun,3
eloquent,adjective,3
else,adverb,0
elsewhere,adverb,1
email,verb,1
email,noun,0
embarrass,verb,2
embarrassed,adjective,2
embarrassing,adjective,1
embarrassment,noun,2
embassy,noun,3
embrace,noun,3
emerge,verb,2
emergence,noun,3
emergency,noun,1
emotion,noun,2
emotional,adjective,2
emotionally,adverb,2
emperor,noun,2
emphasis,noun,2
emphasise,verb,2
emphasize,verb,2
emphatically,adverb,3
empire,noun,2
employ,verb,3
employee,noun,3
employer,noun,3
employment,noun,2
empty,adjective,1
enable,verb,2
enclose,verb,2
encounter,noun,2
encounter,verb,3
encourage,verb,1
encouragement,noun,2
encouraging,adjective,2
encyclopaedia,noun,2
encyclopedia,noun,2
end,noun,0
end,verb,1
endanger,verb,2
endangered,adjective,1
endeavor,noun,3
endeavour,noun,3
ending,noun,1
endless,adjective,2
endlessly,adverb,3
endorse,verb,3
endurance,noun,3
endure,verb,2
enduring,adjective,3
enemy,noun,2
energetic,adjective,1
energy,noun,3
enforce,verb,3
engage,verb,2
engaged,adjective,2
engagement,noun,3
engine,noun,2
engineer,noun,0
engineering,noun,2
Englishman,noun,2
engulf,verb,3
enhance,verb,3
enjoy,verb,0
enjoyable,adjective,2
enjoyment,noun,2
enormous,adjective,1
enough,adverb,1
enough,determiner,1
enough,pronoun,1
enquire,verb,3
enquiry,noun,2
enrich,verb,2
enrol,verb,3
enroll,verb,3
ensure,verb,2
enter,verb,1
enterprise,noun,3
entertain,verb,2
entertainer,noun,2
entertaining,adjective,3
entertainment,noun,1
enthusiasm,noun,2
enthusiast,noun,2
enthusiastic,adjective,2
enthusiastically,adverb,3
entire,adjective,2
entirely,adverb,2
entitle,verb,3
entrance,noun,1
entrepreneur,noun,3
entry,noun,2
envelope,noun,1
environment,noun,3
environmental,adjective,2
environmentalist,noun,2
environmentally,adverb,3
environmentally friendly,adjective,3
envy,noun,1
envy,verb,3
episode,noun,1
equal,adjective,2
equal,noun,3
equal,verb,3
equality,noun,2
equally,adverb,2
equation,noun,3
equip,verb,3
equipment,noun,2
equity,noun,3
era,noun,2
erect,adjective,3
error,noun,1
erupt,verb,3
eruption,noun,3
escalator,noun,1
escape,noun,1
escape,verb,2
especially,adverb,1
essay,noun,1
essayist,noun,3
essence,noun,2
essential,adjective,2
essentially,adverb,3
establish,verb,1
establishment,noun,2
estate,noun,3
estimate,noun,3
estimate,verb,2
estimated,adjective,3
eternal,adjective,2
eternally,adverb,3
eternity,noun,2
ethic,noun,3
ethnic,adjective,3
euro,noun,1
evacuate,verb,3
evacuation,noun,3
evaluate,verb,3
evaluation,noun,3
even,adjective,2
even,adverb,1
evening,noun,0
evenly,adverb,2
event,noun,0
eventually,adverb,2
ever,adverb,1
everlasting,adjective,3
every,determiner,0
everybody,pronoun,0
everyday,adjective,0
everyone,pronoun,0
everything,pronoun,0
everywhere,adverb,0
evidence,noun,1
evident,adjective,2
evidently,adverb,3
evil,adjective,3
evil,noun,3
evolution,noun,3
evolve,verb,3
exact,adjective,2
exactly,adverb,1
exactness,noun,3
exaggerate,noun,3
exaggeration,noun,3
exalt,verb,3
exam,noun,1
examination,noun,2
examine,verb,2
examinee,noun,3
examiner,noun,2
example,noun,0
exceed,verb,3
excel,verb,3
excellence,noun,2
excellent,adjective,0
except,conjunction,1
except,preposition,1
exception,noun,3
exceptional,adjective,3
exceptionally,adverb,3
excess,noun,2
excessive,adjective,3
exchange,noun,1
exchange,verb,2
exchange rate,noun,2
excited,adjective,0
excitedly,adverb,2
excitement,noun,2
exciting,adjective,0
exclaim,verb,3
exclamation mark,noun,3
exclude,verb,3
exclusion,noun,3
exclusive,adjective,2
exclusively,adverb,3
excursion,noun,3
excuse,noun,0
excuse,verb,2
execute,verb,3
execution,noun,3
executive,adjective,3
executive,noun,3
exercise,noun,1
exercise,verb,0
exhaust,noun,3
exhausted,adjective,2
exhausting,adjective,3
exhaustion,noun,3
exhibit,verb,3
exhibition,noun,1
exile,noun,3
exist,verb,1
existence,noun,2
existing,adjective,3
exit,noun,2
exit,verb,2
exotic,adjective,3
expand,verb,2
expansion,noun,3
expect,verb,1
expectation,noun,3
expected,adjective,3
expedition,noun,3
expense,noun,2
expensive,adjective,0
experience,noun,1
experience,verb,2
experienced,adjective,2
experiment,noun,2
experiment,verb,3
expert,adjective,3
expert,noun,1
explain,verb,1
explanation,noun,1
explode,verb,3
exploit,verb,3
exploration,noun,2
explore,verb,1
explorer,noun,3
explosion,noun,2
explosive,adjective,3
explosive,noun,3
export,noun,3
export,verb,3
expose,verb,2
express,noun,1
express,verb,2
expression,noun,1
expressive,adjective,3
exquisite,adjective,3
extend,verb,2
extension,noun,3
extensive,adjective,3
extensively,adverb,2
extent,noun,2
external,adjective,3
extinct,adjective,2
extinction,noun,2
extra,adjective,1
extra,adverb,1
extra,noun,2
extract,noun,3
extract,verb,3
extraordinarily,adverb,3
extraordinary,adjective,2
extreme,adjective,2
extreme sports,noun,2
extremely,adverb,1
exultant,adjective,3
eye,noun,0
eyebrow,noun,3
eyelash,noun,3
eyelid,noun,3
eyesight,noun,2
fabric,noun,3
fabulous,adjective,3
face,noun,0
face,verb,1
face to face,adverb,2
face-to-face,adjective,2
facilitate,verb,3
facilities,noun,3
facility,noun,2
fact,noun,1
factor,noun,3
factory,noun,0
faculty,noun,3
fade,verb,2
fail,verb,1
failure,noun,2
faint,adjective,2
faint,verb,3
fair,adjective,0
fair,noun,2
fairly,adverb,1
fairy,noun,0
faith,noun,3
faithful,adjective,2
fake,adjective,2
fall,noun,2
fall,verb,1
fallen,adjective,2
false,adjective,0
falter,verb,3
fame,noun,3
familiar,adjective,1
familiarise,verb,3
familiarize,verb,3
family,noun,0
famous,adjective,0
fan,noun,0
fancy,adjective,1
fancy,noun,2
fancy,verb,2
fantastic,adjective,1
fantastically,adverb,3
fantasy,noun,2
far,adjective,3
far,adverb,1
faraway,adjective,2
fare,noun,1
farewell,noun,2
farm,noun,0
farmer,noun,0
farming,noun,2
farmland,noun,2
farther,adverb,2
farthest,adverb,2
fascinate,verb,2
fascinated,adjective,3
fascinating,adjective,1
fascination,noun,3
fashion,noun,1
fashionable,adjective,2
fast,adjective,0
fast,adverb,0
fast food,noun,1
fasten,verb,2
fat,adjective,0
fat,noun,3
fatal,adjective,3
fate,noun,3
father,noun,0
father-in-law,noun,3
fault,noun,1
faulty,adjective,3
favor,noun,1
favorable,adjective,2
favorite,adjective,0
favorite,noun,0
favour,noun,1
favourable,adjective,2
favourite,adjective,0
favourite,noun,0
fax,noun,2
fax,verb,2
fear,noun,1
fear,verb,3
fearsome,adjective,3
feast,noun,2
feat,noun,3
feather,noun,1
feature,noun,1
feature,verb,3
February,noun,0
fed up,adjective,3
federal,adjective,3
fee,noun,1
feed,noun,0
feed,verb,2
feedback,noun,3
feel,noun,1
feel,verb,0
feeling,noun,0
fellow,adjective,3
fellow,noun,2
female,adjective,1
female,noun,3
fence,noun,1
ferry,noun,2
ferryboat,noun,3
festival,noun,0
festive,adjective,2
fetch,verb,2
fever,noun,0
feverishly,adverb,2
few,determiner,1
few,pronoun,2
fiber,noun,3
fibre,noun,3
fiction,noun,1
fictional,adjective,3
field,noun,0
fierce,adjective,3
fifteen,number,0
fifth,noun,2
fifty,number,0
fight,noun,0
fight,verb,2
fighter,noun,1
fighting,noun,3
figurative,adjective,3
figure,noun,1
figure,verb,1
file,noun,0
file,verb,3
filial,adjective,3
fill,verb,0
filling,noun,2
film,noun,1
film,verb,2
film-maker,noun,2
filter,noun,2
final,adjective,1
final,noun,1
finally,adverb,1
finance,noun,3
finance,verb,2
financial,adjective,2
financially,adverb,3
find,verb,0
finding,noun,2
fine,adjective,0
fine,adverb,3
fine,noun,2
fine,verb,3
finely,adverb,3
finger,noun,2
fingernail,noun,3
finish,noun,0
finish,verb,0
fire,noun,0
fire,verb,3
fire brigade,noun,3
fire station,noun,2
firearm,noun,3
firefighter,noun,2
fireplace,noun,3
firework,noun,2
firm,adjective,2
firm,noun,2
firmly,adverb,2
firmness,noun,3
first,adjective,0
first,adverb,0
first floor,noun,2
first lady,noun,2
first language,noun,3
first name,noun,1
first person,noun,3
first-floor,adjective,2
firstly,adverb,3
fiscal,adjective,3
fish,noun,0
fish,verb,2
fisherman,noun,1
fishing,noun,0
fit,adjective,1
fit,noun,3
fit,verb,2
fitness,noun,2
five,number,0
fix,noun,1
fix,verb,2
fixed,adjective,3
flag,noun,0
flame,noun,3
flap,verb,3
flash,adjective,2
flash,noun,3
flash,verb,3
flat,adjective,2
flat,adverb,3
flat,noun,0
flavor,noun,2
flavour,noun,2
flaw,noun,3
flawless,adjective,3
flax,noun,3
flea,noun,1
flee,verb,3
fleet,noun,3
flesh,noun,3
flexibility,noun,3
flexible,adjective,3
flexibly,adverb,3
flight,noun,1
flip,verb,3
float,noun,1
float,verb,2
flock,noun,2
flood,noun,1
flood,verb,2
floor,noun,0
flour,noun,1
flow,noun,2
flow,verb,2
flower,noun,0
flu,noun,2
fluency,noun,3
fluent,adjective,2
fluently,adverb,2
fluid,adjective,3
flunk,verb,2
flute,noun,2
flutter,noun,3
fly,noun,0
fly,verb,0
focus,noun,3
focus,verb,0
fog,noun,1
foggy,adjective,0
fold,noun,2
fold,verb,2
folder,noun,1
folk,noun,2
follow,verb,1
follower,noun,3
following,adjective,0
following,preposition,3
folly,noun,3
fond,adjective,2
fondly,adverb,3
fondness,noun,2
food,noun,0
fool,noun,1
fool,verb,2
foolish,adjective,2
foolishly,adverb,3
foot,noun,2
football,noun,0
footballer,noun,1
footnote,noun,3
for,conjunction,1
for,preposition,0
forbid,verb,1
forbidden,adjective,2
force,noun,1
force,verb,3
forcefully,adverb,3
forecast,noun,2
forehead,noun,2
foreign,adjective,0
foreigner,noun,0
foreman,noun,3
foresee,verb,3
forest,noun,1
forestry,noun,3
forever,adverb,1
forget,verb,0
forgive,verb,2
fork,noun,1
form,noun,0
form,verb,2
formal,adjective,2
formally,adverb,2
format,noun,2
format,verb,2
formation,noun,3
former,adjective,2
formerly,adverb,3
formidable,adjective,3
formula,noun,2
forth,adverb,2
forthcoming,adjective,3
fortnight,noun,2
fortunate,adjective,2
fortunately,adverb,1
fortune,noun,1
forty,number,0
forward,adverb,1
forwards,adverb,1
foul,adjective,3
found,verb,3
foundation,noun,2
fountain,noun,2
four,number,0
fourteen,number,0
fox,noun,3
fragment,noun,2
fragrance,noun,3
frame,noun,1
frame,verb,3
frank,adjective,1
frankly,adverb,3
frantically,adverb,3
fraud,noun,3
freak,verb,3
free,adjective,0
free,adverb,1
free,verb,3
freedom,noun,1
freely,adverb,2
freeze,verb,1
freezer,noun,2
freezing,adjective,2
frequency,noun,2
frequent,adjective,2
frequently,adverb,2
fresh,adjective,1
freshman,noun,2
Friday,noun,0
fridge,noun,1
fried,adjective,1
friend,noun,0
friendliness,noun,2
friendly,adjective,3
friendship,noun,1
frigate,noun,3
fright,noun,2
frighten,verb,1
frightened,adjective,1
frightening,adjective,1
frog,noun,0
from,preposition,0
front,adjective,0
front,noun,1
frontier,noun,3
frost,noun,2
frozen,adjective,2
frugal,adjective,3
fruit,noun,0
frustrated,adjective,2
frustration,noun,2
fry,noun,1
fry,verb,2
frying pan,noun,2
fuel,noun,2
fulfil,verb,3
fulfill,verb,3
full,adjective,0
full stop,noun,2
full-time,adjective,2
full-time,adverb,2
fully,adverb,1
fume,noun,3
fun,adjective,0
fun,noun,0
function,noun,2
function,verb,1
functional,adjective,3
functionality,noun,3
fund,noun,2
fund,verb,2
fundamental,adjective,3
funeral,noun,2
funk,noun,3
funky,adjective,3
funny,adjective,0
fur,noun,2
furious,adjective,3
furiously,adverb,3
furnish,verb,2
furniture,noun,1
furor,noun,3
furore,noun,3
further,adjective,1
further,adverb,2
furthermore,adverb,2
furthest,adverb,2
fuss,noun,2
future,adjective,2
future,noun,0
gaiety,noun,3
gain,noun,2
gain,verb,2
gall,noun,2
gallery,noun,1
gallon,noun,2
gambling,noun,3
game,noun,0
gang,noun,3
gangster,noun,3
gaol,noun,2
gap,noun,2
garage,noun,1
garbage,noun,0
garden,noun,0
gardener,noun,3
gardening,noun,2
garlic,noun,1
garment,noun,2
gas,noun,1
gasp,noun,3
gate,noun,1
gateway,noun,3
gather,verb,1
gaudy,adjective,3
gay,adjective,2
gaze,noun,3
gear,noun,3
gee,interjection,2
gender,noun,1
gene,noun,2
general,adjective,2
general,noun,2
generalisation,noun,3
generalise,verb,3
generalization,noun,3
generalize,verb,3
generally,adverb,2
generate,verb,2
generation,noun,1
generosity,noun,3
generous,adjective,2
generously,adverb,3
genetic,adjective,2
genetically,adverb,2
genetics,noun,2
genius,noun,3
genre,noun,3
gentle,adjective,1
gentleman,noun,2
gently,adverb,3
genuine,adjective,3
genuinely,adverb,3
geographic,adjective,3
geographical,adjective,2
geography,noun,2
geology,noun,2
germ,noun,3
gesture,noun,2
get,verb,0
getaway,noun,3
ghetto,noun,3
ghost,noun,0
giant,adjective,2
gift,noun,0
gifted,adjective,2
giggle,noun,2
ginger,noun,2
giraffe,noun,2
girl,noun,0
girlfriend,noun,0
give,verb,0
giveaway,noun,3
given,adjective,1
glacis,noun,3
glad,adjective,0
glamorous,adjective,3
glamourous,adjective,3
glance,noun,2
glance,verb,2
glare,noun,3
glass,noun,0
glasses,noun,0
gleam,noun,3
glee,noun,3
glide,noun,2
glimpse,noun,2
glint,noun,2
global,adjective,2
global warming,noun,3
globally,adverb,3
globe,noun,1
glocal,adjective,3
gloomy,adjective,3
glorify,verb,3
glorious,adjective,2
glory,noun,2
glove,noun,1
glow,noun,3
go,noun,2
go,verb,0
goal,noun,0
goalkeeper,noun,2
goat,noun,3
god,noun,3
goddess,noun,2
godly,adjective,3
gold,adjective,0
gold,noun,1
golden,adjective,1
golf,noun,1
golfer,noun,2
good,adjective,0
good,noun,3
good afternoon,interjection,0
good morning,interjection,0
good night,interjection,0
good-looking,adjective,1
goodness,interjection,2
goods,noun,2
goodwill,noun,3
gook,noun,3
gorge,noun,3
gorgeous,adjective,2
gorilla,noun,2
gossip,noun,2
gossip,verb,3
govern,verb,2
government,noun,1
governmental,adjective,3
governor,noun,2
gown,noun,2
grab,verb,2
grace,noun,1
graceful,adjective,2
gracefulness,noun,3
grade,noun,0
grade,verb,3
gradual,adjective,3
gradually,adverb,1
graduate,noun,2
graduate,verb,1
graduation,noun,2
grain,noun,3
gram,noun,1
grammar,noun,0
gramme,noun,1
grand,adjective,3
grandchild,noun,1
granddad,noun,1
granddaughter,noun,1
grandfather,noun,0
grandma,noun,0
grandmother,noun,0
grandpa,noun,0
grandparent,noun,0
grandson,noun,1
granny,noun,1
grant,noun,2
grant,verb,2
grape,noun,0
graph,noun,2
graphic,adjective,2
graphically,adverb,3
graphics,noun,2
grasp,noun,3
grass,noun,0
grateful,adjective,1
gratitude,noun,2
grave,noun,2
gravestone,noun,3
gravitation,noun,3
gravy,noun,2
gray,adjective,0
gray,noun,0
great,adjective,0
greatly,adverb,1
greatness,noun,3
greedy,adjective,1
green,adjective,0
green,noun,1
greenhouse,noun,2
greet,verb,0
greeting,noun,2
grey,adjective,0
grey,noun,0
grief,noun,3
grieve,verb,3
grill,noun,2
grill,verb,2
grilled,adjective,1
grim,adjective,3
grin,noun,3
grip,noun,3
grip,verb,3
grocery store,noun,1
groom,noun,2
gross,adjective,3
ground,noun,0
ground floor,noun,2
group,noun,0
group,verb,2
grouping,noun,2
grow,verb,0
growing,adjective,3
grown-up,adjective,3
grown-up,noun,3
growth,noun,2
guarantee,noun,2
guarantee,verb,3
guard,noun,1
guard,verb,3
guerrilla,noun,3
guess,noun,2
guess,verb,0
guest,noun,0
guidance,noun,2
guide,noun,2
